Data,Produto,Razão Não Conformidade,Tipo Não Conformidade,Rejeição (S/N),,,,,,,,
01/07/2019,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
27/06/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
26/06/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
24/06/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
19/06/2019,Bacalhau Graúdo,Defeitos escala,Major,N,,,,,,,,
18/06/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
18/06/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
12/06/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
11/06/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
05/06/2019,Caldeirada,Temperatura elevada,Major,N,,,,,,,,
05/06/2019,Paloco Pacífico Desfiado,Temperatura elevada,Major,N,,,,,,,,
05/06/2019,Línguas,Temperatura elevada,Major,N,,,,,,,,
05/06/2019,Bochechas,Temperatura elevada,Major,N,,,,,,,,
04/06/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
03/06/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
03/06/2019,Bacalhau Islândia Graúdo,Peso,Minor,N,,,,,,,,
31/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
29/05/2019,Bochechas,Temperatura elevada,Major,N,,,,,,,,
28/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
24/05/2019,Bochechas,Temperatura elevada,Major,N,,,,,,,,
24/05/2019,Bacalhau Desfiado,Temperatura elevada,Major,N,,,,,,,,
24/05/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
23/05/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
23/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
23/05/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
23/05/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
22/05/2019,Línguas,Temperatura elevada,Major,N,,,,,,,,
22/05/2019,Caldeirada,Temperatura elevada,Major,N,,,,,,,,
22/05/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
22/05/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
22/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
21/05/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
21/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
20/05/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
20/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
17/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
15/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
15/05/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
14/05/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
14/05/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
13/05/2019,Bacalhau Islândia Crescido,Peso,Minor,N,,,,,,,,
10/05/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
09/05/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
08/05/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
30/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
30/04/2019,Bacalhau Sortido 1-2,Peso,Minor,N,,,,,,,,
30/04/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
24/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
24/04/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
23/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
23/04/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
15/04/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
12/04/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
12/04/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
11/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
09/04/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
09/04/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
09/04/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
08/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
05/04/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
05/04/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
04/04/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
03/04/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
03/04/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
03/04/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
