,,,,,,,,,,,
,,,,,,,,,,,
Data,Temperatura Receção Logística (ºC),Conformidade Temp Receção,Conformidade Temp Receção HACCP,NC por Tº elevada (S/N),,,,,,,
10/12/2020,8.90,NC,C,N,,,,,,,
09/12/2020,8.00,NC,C,N,,,,,,,
07/12/2020,7.60,NC,C,N,,,,,,,
04/12/2020,7.60,NC,C,N,,,,,,,
03/12/2020,8.20,NC,C,N,,,,,,,
02/12/2020,7.90,NC,C,N,,,,,,,
30/11/2020,7.80,NC,C,N,,,,,,,
26/11/2020,9.40,NC,NC,N,,,,,,,
17/11/2020,7.60,NC,C,N,,,,,,,
13/11/2020,9.20,NC,NC,N,,,,,,,
09/11/2020,9.00,NC,C,N,,,,,,,
05/11/2020,7.00,C,C,N,,,,,,,
04/11/2020,7.90,NC,C,N,,,,,,,
02/11/2020,8.10,NC,C,N,,,,,,,
30/10/2020,9.00,NC,C,N,,,,,,,
21/10/2020,7.50,NC,C,N,,,,,,,
14/10/2020,9.60,NC,NC,N,,,,,,,
12/10/2020,6.80,C,C,N,,,,,,,
09/10/2020,8.00,NC,C,N,,,,,,,
07/10/2020,6.80,C,C,N,,,,,,,
28/09/2020,6.80,C,C,N,,,,,,,
24/09/2020,7.10,NC,C,N,,,,,,,
16/09/2020,6.20,C,C,N,,,,,,,
03/09/2020,7.10,NC,C,N,,,,,,,
02/09/2020,8.40,NC,C,N,,,,,,,
21/08/2020,7.10,NC,C,N,,,,,,,
20/08/2020,9.80,NC,NC,N,,,,,,,
19/08/2020,6.10,C,C,N,,,,,,,
17/08/2020,6.30,C,C,N,,,,,,,
06/08/2020,6.80,C,C,N,,,,,,,
04/08/2020,6.80,C,C,N,,,,,,,
31/07/2020,7.30,NC,C,N,,,,,,,
30/07/2020,7.10,NC,C,N,,,,,,,
27/07/2020,7.10,NC,C,N,,,,,,,
20/07/2020,6.90,C,C,N,,,,,,,
17/07/2020,7.30,NC,C,N,,,,,,,
15/07/2020,6.90,C,C,N,,,,,,,
14/07/2020,8.60,NC,C,N,,,,,,,
10/07/2020,6.90,C,C,N,,,,,,,
08/07/2020,7.20,NC,C,N,,,,,,,
01/07/2020,6.40,C,C,N,,,,,,,
29/06/2020,8.20,NC,C,N,,,,,,,
26/06/2020,9.80,NC,NC,N,,,,,,,
24/06/2020,8.60,NC,C,N,,,,,,,
19/06/2020,6.80,C,C,N,,,,,,,
18/06/2020,7.20,NC,C,N,,,,,,,
17/06/2020,6.80,C,C,N,,,,,,,
16/06/2020,6.90,C,C,N,,,,,,,
10/06/2020,7.90,NC,C,N,,,,,,,
09/06/2020,8.70,NC,C,N,,,,,,,
08/06/2020,6.20,C,C,N,,,,,,,
05/06/2020,9.80,NC,NC,N,,,,,,,
04/06/2020,8.90,NC,C,N,,,,,,,
03/06/2020,10.60,NC,NC,N,,,,,,,
02/06/2020,7.10,NC,C,N,,,,,,,
29/05/2020,7.70,NC,C,N,,,,,,,
28/05/2020,7.10,NC,C,N,,,,,,,
27/05/2020,8.40,NC,C,N,,,,,,,
26/05/2020,7.10,NC,C,N,,,,,,,
25/05/2020,6.80,C,C,N,,,,,,,
21/05/2020,7.10,NC,C,N,,,,,,,
19/05/2020,6.80,C,C,N,,,,,,,
18/05/2020,7.40,NC,C,N,,,,,,,
15/05/2020,7.40,NC,C,N,,,,,,,
